"","Id","Area","ScaleLength","WBAN","LONGITUDE","LATITUDE","NETWORK","OPERATION","STATUS"
"1",1,121.4802,11.0218056596912,"03047",-102.8,31.62,"USCRN","Operational","Commissioned"
"2",2,10.6533,3.26393933767158,"03048",-106.88,34.35,"USCRN","Operational","Commissioned"
"3",3,12.5253,3.53911005762748,"03054",-102.77,33.95,"USCRN","Operational","Commissioned"
"4",4,28.9062,5.37644864199408,"03055",-101.59,36.59,"USCRN","Operational","Commissioned"
"5",5,32.9157,5.7372205814314,"03060",-107.69,38.54,"USCRN","Operational","Commissioned"
"6",6,18.5589,4.30800417827095,"03061",-108.5,37.25,"USCRN","Operational","Commissioned"
"7",7,13.0257,3.60911346455054,"03062",-106.52,35.85,"USCRN","Operational","Commissioned"
"8",8,6.5169,2.55282196794058,"03063",-103.82,37.86,"USCRN","Operational","Commissioned"
"9",9,2.6568,1.62996932486474,"03067",-100.96,38.87,"USCRN","Operational","Commissioned"
"10",10,12.3489,3.51410016931789,"03072",-100.24,32.04,"USCRN","Operational","Commissioned"
"11",11,2.9349,1.71315498423231,"03074",-106.74,32.61,"USCRN","Operational","Commissioned"
"12",12,4.5261,2.12746327817897,"03728",-79.36,33.15,"USCRN","Operational","Commissioned"
"13",13,4.8888,2.21106309272259,"03733",-79.47,39.01,"USCRN","Operational","Commissioned"
"14",14,6.3828,2.52642039257128,"03739",-75.92,37.29,"USCRN","Operational","Commissioned"
"15",15,177.6087,13.3269914084162,"03758",-79.09,35.97,"USCRN","Operational","Commissioned"
"16",16,76.2462,8.73190700820846,"03759",-78.46,37.99,"USCRN","Operational","Commissioned"
"17",17,159.3432,12.6231216424465,"03761",-75.78,39.85,"USCRN","Operational","Commissioned"
"18",18,0.8595,0.927092228421747,"04125",-119.64,44.55,"USCRN","Operational","Commissioned"
"19",19,2.3688,1.53909064060568,"04126",-113.55,43.46,"USCRN","Operational","Commissioned"
"20",20,0.8874,0.942019108086455,"04127",-116.75,43.2,"USCRN","Operational","Commissioned"
"21",21,5.2614,2.29377418243383,"04128",-119.69,43.47,"USCRN","Operational","Commissioned"
"22",22,1.3068,1.14315353299546,"04130",-113.43,48.74,"USCRN","Operational","Commissioned"
