"","X","Count","Area","ScaleLength","Total","Id","CRNid","PopCount","WBAN","LONGITUDE","LATITUDE","NETWORK","OPERATION","STATUS","Area30m","ScaleLength30m"
"1",1,53,4.77,2.18403296678416,15489,1,1,9071.4542091368,3047,-102.8,31.62,"USCRN","Operational","Commissioned",121.4802,11.0218056596912
"2",2,92,8.28,2.87749891398763,15956,2,2,1961.18139832067,3048,-106.88,34.35,"USCRN","Operational","Commissioned",10.6533,3.26393933767158
"3",3,1,0.09,0.3,15894,3,3,527.545521203807,3054,-102.77,33.95,"USCRN","Operational","Commissioned",12.5253,3.53911005762748
"4",4,107,9.63,3.10322412983658,16398,4,4,14718.1116451581,3055,-101.59,36.59,"USCRN","Operational","Commissioned",28.9062,5.37644864199408
"5",5,262,23.58,4.85592421687159,16820,5,5,29265.2075515068,3060,-107.69,38.54,"USCRN","Operational","Commissioned",32.9157,5.7372205814314
"6",6,55,4.95,2.2248595461287,16544,6,6,16312.6666781681,3061,-108.5,37.25,"USCRN","Operational","Commissioned",18.5589,4.30800417827095
"7",7,97,8.73,2.95465734053883,16252,7,7,7830.79945849023,3062,-106.52,35.85,"USCRN","Operational","Commissioned",13.0257,3.60911346455054
"8",8,0,0,0,16667,8,8,455.514005993217,3063,-103.82,37.86,"USCRN","Operational","Commissioned",6.5169,2.55282196794058
"9",9,0,0,0,16908,9,9,136.782151785737,3067,-100.96,38.87,"USCRN","Operational","Commissioned",2.6568,1.62996932486474
"10",10,38,3.42,1.84932420089069,15551,10,10,2187.10019941055,3072,-100.24,32.04,"USCRN","Operational","Commissioned",12.3489,3.51410016931789
"11",11,6,0.54,0.734846922834953,15647,11,11,1860.79040773891,3074,-106.74,32.61,"USCRN","Operational","Commissioned",2.9349,1.71315498423231
"12",12,52,4.68,2.16333076527839,15744,12,12,5381.46915905582,3728,-79.36,33.15,"USCRN","Operational","Commissioned",4.5261,2.12746327817897
"13",13,5,0.45,0.670820393249937,16922,13,13,5849.53117400342,3733,-79.47,39.01,"USCRN","Operational","Commissioned",4.8888,2.21106309272259
"14",14,66,5.94,2.43721152139079,16541,14,14,7676.82005686918,3739,-75.92,37.29,"USCRN","Operational","Commissioned",6.3828,2.52642039257128
"15",15,2119,190.71,13.8097791437807,16274,15,15,365493.572005436,3758,-79.09,35.97,"USCRN","Operational","Commissioned",177.6087,13.3269914084162
"16",16,583,52.47,7.24361788058978,16700,16,16,152199.462716356,3759,-78.46,37.99,"USCRN","Operational","Commissioned",76.2462,8.73190700820846
"17",17,2993,269.37,16.4124952399079,17144,17,17,388997.106119812,3761,-75.78,39.85,"USCRN","Operational","Commissioned",159.3432,12.6231216424465
"18",18,0,0,0,18444,18,18,316.249050816364,4125,-119.64,44.55,"USCRN","Operational","Commissioned",0.8595,0.927092228421747
"19",19,4,0.36,0.6,18102,19,19,27.4592911352738,4126,-113.55,43.46,"USCRN","Operational","Commissioned",2.3688,1.53909064060568
"20",20,1,0.09,0.3,18044,20,20,746.647872710419,4127,-116.75,43.2,"USCRN","Operational","Commissioned",0.8874,0.942019108086455
"21",21,0,0,0,18114,21,21,62.4970026309511,4128,-119.69,43.47,"USCRN","Operational","Commissioned",5.2614,2.29377418243383
"22",22,49,4.41,2.1,19910,22,22,466.252001655756,4130,-113.43,48.74,"USCRN","Operational","Commissioned",1.3068,1.14315353299546
"23",23,9,0.81,0.9,18175,23,23,4412.47876327405,4131,-110.71,43.66,"USCRN","Operational","Commissioned",6.5619,2.56162058080427
"24",24,201,18.09,4.25323406362735,19406,24,24,24447.1132057528,4136,-117.52,47.41,"USCRN","Operational","Commissioned",11.7711,3.43090367104645
"25",25,23,2.07,1.43874945699382,18646,25,25,409.302332455094,4137,-113,45.15,"USCRN","Operational","Commissioned",1.0701,1.034456378974
"26",26,16,1.44,1.2,17582,26,26,353.089260049561,4138,-112.54,41.61,"USCRN","Operational","Commissioned",11.4408,3.3824251654693
"27",27,0,0,0,17643,27,27,2.43142201479293,4139,-119.63,41.84,"USCRN","Operational","Commissioned",0,0
"28",28,0,0,0,19224,28,28,168.548988731086,4140,-110.28,46.88,"USCRN","Operational","Commissioned",0,0
"29",29,560,50.4,7.09929573971954,18060,29,29,48278.5795229739,4141,-124.31,43.27,"USCRN","Operational","Commissioned",53.6175,7.32239714847535
"30",30,608,54.72,7.39729680356277,17346,30,30,43734.9983091458,4222,-122.6,40.65,"USCRN","Operational","Commissioned",54.0396,7.35116317326721
"31",31,208,18.72,4.32666153055679,19828,31,31,1474.9399133033,4223,-121.44,48.54,"USCRN","Operational","Commissioned",0.3276,0.572363520850167
"32",32,433,38.97,6.24259561400544,18395,32,32,63824.5587461236,4236,-123.32,44.41,"USCRN","Operational","Commissioned",25.7967,5.07904518585925
"33",33,2,0.18,0.424264068711929,19444,33,33,909.757333036744,4237,-123.81,47.51,"USCRN","Operational","Commissioned",0.9774,0.988635423197045
"34",34,258,23.22,4.8187135212627,18201,34,34,37256.0637245271,4990,-96.62,43.73,"USCRN","Operational","Commissioned",50.1768,7.08355842779602
"35",35,0,0,0,19748,35,35,1251.19079221348,4994,-95.87,48.3,"USCRN","Operational","Commissioned",0.8694,0.932416216075203
"36",36,31,2.79,1.67032930884901,14749,36,36,29440.2270025892,12987,-98.06,26.52,"USCRN","Operational","Commissioned",28.7703,5.36379529810749
"37",37,85,7.65,2.76586333718787,17141,37,37,9020.07518609668,13301,-93.14,39.86,"USCRN","Operational","Commissioned",15.2361,3.90334471959626
"38",38,0,0,0,15120,38,38,150.848883105301,22016,-103.2,29.34,"USCRN","Operational","Commissioned",3.4272,1.85126983446498
"39",39,77,6.93,2.63248931621764,16040,39,39,24372.9107423667,23803,-89.43,34.82,"USCRN","Operational","Commissioned",19.8666,4.45719642824949
"40",40,143,12.87,3.58747822293042,16243,40,40,27221.763143928,23904,-91.78,35.82,"USCRN","Operational","Commissioned",27.3987,5.23437675373105
"41",41,50,4.5,2.12132034355964,14981,41,41,2641.44757851224,23906,-96.82,28.3,"USCRN","Operational","Commissioned",6.4521,2.54009842328993
"42",42,157,14.13,3.7589892258425,15324,42,42,38124.299503102,23907,-98.08,30.62,"USCRN","Operational","Commissioned",39.1113,6.25390278146375
"43",43,363,32.67,5.7157676649773,16574,43,43,36282.5592282668,23908,-94.58,37.42,"USCRN","Operational","Commissioned",62.91,7.93158243984137
"44",44,85,7.65,2.76586333718787,16632,44,44,18787.0028878842,23909,-91.72,37.63,"USCRN","Operational","Commissioned",16.4007,4.04977777168081
"45",45,20,1.8,1.34164078649987,24101,45,45,8838.92750010026,25379,-135.32,57.05,"USCRN","Operational","Commissioned",6.4197,2.53371269089453
"46",46,15,1.35,1.16189500386223,25020,46,46,413.993523401667,25380,-135.69,58.42,"USCRN","Operational","Commissioned",1.161,1.07749709976408
"47",47,3,0.27,0.519615242270663,22880,47,47,1394.77506266521,25381,-131.58,55.04,"USCRN","Operational","Commissioned",3.3129,1.8201373574541
"48",48,0,0,0,24871,48,48,0,25522,-155.92,58.2,"USCRN","Operational","Commissioned",0,0
"49",49,2,0.18,0.424264068711929,23054,49,49,1054.23316287224,25630,-160.46,55.34,"USCRN","Operational","Commissioned",0.9441,0.971648084442099
"50",50,2,0.18,0.424264068711929,24159,50,50,479.999980767589,25711,-170.21,57.15,"USCRN","Operational","Commissioned",0.567,0.752994023880668
"51",51,709,63.81,7.98811617341661,30929,51,51,63006.5306184423,26494,-147.51,64.97,"USCRN","Operational","Commissioned",76.0752,8.72210983650172
"52",52,0,0,0,26349,52,52,153.448484977353,26562,-154.31,60.19,"USCRN","Operational","Commissioned",0.5121,0.715611626512594
"53",53,0,0,0,26771,53,53,8.42909782560309,26563,-150.44,60.72,"USCRN","Operational","Commissioned",0,0
"54",54,0,0,0,35660,54,54,0,26564,-155.75,68.48,"USCRN","Operational","Commissioned",0,0
"55",55,6,0.54,0.734846922834953,38530,55,55,1964.7965964235,26565,-148.46,70.16,"USCRN","Operational","Commissioned",9.7983,3.13022363418335
"56",56,0,0,0,34942,56,56,316.004269236713,26655,-162.92,68.02,"USCRN","Operational","Commissioned",4.5387,2.13042249330972
"57",57,2,0.18,0.424264068711929,40823,57,57,4759.9999360533,27516,-156.61,71.32,"USCRN","Operational","Commissioned",5.9634,2.44200737099625
"58",58,2881,259.29,16.1024842803836,15586,58,58,373446.346398063,53131,-111.16,32.23,"USCRN","Operational","Commissioned",339.0597,18.4135737976092
"59",59,107,9.63,3.10322412983658,15482,59,59,19516.9978184851,53132,-110.5,31.59,"USCRN","Operational","Commissioned",36.6921,6.05740043252879
"60",60,65,5.85,2.41867732448956,16406,60,60,113.622235475543,53136,-116.02,36.62,"USCRN","Operational","Commissioned",8.6976,2.94916937458668
"61",61,0,0,0,16929,61,61,275.130179737946,53138,-114.2,39.01,"USCRN","Operational","Commissioned",5.2614,2.29377418243383
"62",62,15,1.35,1.16189500386223,16403,62,62,39.9994574802304,53139,-117.14,36.6,"USCRN","Operational","Commissioned",1.1529,1.0737318100904
"63",63,0,0,0,16789,63,63,750.7588155584,53149,-111.29,38.3,"USCRN","Operational","Commissioned",5.3928,2.32224029764364
"64",64,3,0.27,0.519615242270663,16653,64,64,1208.61230945421,53150,-119.82,37.75,"USCRN","Operational","Commissioned",0.1962,0.442944691807002
"65",65,2154,193.86,13.9233616630468,15798,65,65,351316.04986297,53151,-117.19,33.43,"USCRN","Operational","Commissioned",310.6674,17.6257595581013
"66",66,1022,91.98,9.59062041788747,15963,66,66,182917.592603578,53152,-119.87,34.41,"USCRN","Operational","Commissioned",90.6831,9.52276745489461
"67",67,83,7.47,2.73313007374329,15683,67,67,4153.337567612,53154,-114.18,32.83,"USCRN","Operational","Commissioned",8.8425,2.97363414023985
"68",68,2,0.18,0.424264068711929,16230,68,68,266.729813812242,53155,-112.33,35.75,"USCRN","Operational","Commissioned",1.8918,1.37542720636172
"69",69,1307,117.63,10.8457364895151,16175,69,69,238719.437455615,53877,-82.61,35.49,"USCRN","Operational","Commissioned",190.926,13.817597475683
"70",70,1250,112.5,10.6066017177982,16154,70,70,215248.600486996,53878,-82.55,35.41,"USCRN","Operational","Commissioned",171.2844,13.0875666187416
"71",71,419,37.71,6.14084684713762,16292,71,71,67782.2462513683,53926,-97.09,36.11,"USCRN","Operational","Commissioned",39.7215,6.30249950416499
"72",72,421,37.89,6.15548535860496,16310,72,72,67511.6440182923,53927,-97.1,36.13,"USCRN","Operational","Commissioned",40.7178,6.38105007032542
"73",73,914,82.26,9.06972987469858,15237,73,73,180550.211148236,53960,-91.87,30.09,"USCRN","Operational","Commissioned",124.1937,11.144222718521
"74",74,32,2.88,1.69705627484771,15694,74,74,7371.30503387778,53961,-92.11,32.88,"USCRN","Operational","Commissioned",15.0939,3.88508687161561
"75",75,183,16.47,4.05832477754061,15508,75,75,47936.3090438897,53968,-95.72,31.77,"USCRN","Operational","Commissioned",32.5026,5.70110515602019
"76",76,899,80.91,8.99499861033897,16964,76,76,84600.2830686404,53974,-96.6,39.1,"USCRN","Operational","Commissioned",68.436,8.2726053937076
"77",77,3295,296.55,17.2206271662794,18036,77,77,197727.916241192,54794,-70.92,43.17,"USCRN","Operational","Commissioned",120.789,10.9904049060988
"78",78,3701,333.09,18.2507534091062,18014,78,78,207738.214575045,54795,-70.94,43.1,"USCRN","Operational","Commissioned",123.7365,11.1236909342178
"79",79,1826,164.34,12.8195163715329,17546,79,79,149298.488635551,54796,-71.54,41.49,"USCRN","Operational","Commissioned",126.792,11.2601953801877
"80",80,1593,143.37,11.9737212260851,17556,80,80,135144.843189069,54797,-71.54,41.47,"USCRN","Operational","Commissioned",112.752,10.6184744667019
"81",81,1201,108.09,10.3966340706981,17195,81,81,183186.276464763,54808,-88.37,40.05,"USCRN","Operational","Commissioned",109.4058,10.4597227496717
