"","Count","Area","ScaleLength","Total","ID","PopCount"
"1",53,4.77,2.18403296678416,15489,1,9071.4542091368
"2",92,8.28,2.87749891398763,15956,2,1961.18139832067
"3",1,0.09,0.3,15894,3,527.545521203807
"4",107,9.63,3.10322412983658,16398,4,14718.1116451581
"5",262,23.58,4.85592421687159,16820,5,29265.2075515068
"6",55,4.95,2.2248595461287,16544,6,16312.6666781681
"7",97,8.73,2.95465734053883,16252,7,7830.79945849023
"8",0,0,0,16667,8,455.514005993217
"9",0,0,0,16908,9,136.782151785737
"10",38,3.42,1.84932420089069,15551,10,2187.10019941055
"11",6,0.54,0.734846922834953,15647,11,1860.79040773891
"12",52,4.68,2.16333076527839,15744,12,5381.46915905582
"13",5,0.45,0.670820393249937,16922,13,5849.53117400342
"14",66,5.94,2.43721152139079,16541,14,7676.82005686918
"15",2119,190.71,13.8097791437807,16274,15,365493.572005436
"16",583,52.47,7.24361788058978,16700,16,152199.462716356
"17",2993,269.37,16.4124952399079,17144,17,388997.106119812
"18",0,0,0,18444,18,316.249050816364
"19",4,0.36,0.6,18102,19,27.4592911352738
"20",1,0.09,0.3,18044,20,746.647872710419
"21",0,0,0,18114,21,62.4970026309511
"22",49,4.41,2.1,19910,22,466.252001655756
"23",9,0.81,0.9,18175,23,4412.47876327405
"24",201,18.09,4.25323406362735,19406,24,24447.1132057528
"25",23,2.07,1.43874945699382,18646,25,409.302332455094
"26",16,1.44,1.2,17582,26,353.089260049561
"27",0,0,0,17643,27,2.43142201479293
"28",0,0,0,19224,28,168.548988731086
"29",560,50.4,7.09929573971954,18060,29,48278.5795229739
"30",608,54.72,7.39729680356277,17346,30,43734.9983091458
"31",208,18.72,4.32666153055679,19828,31,1474.9399133033
"32",433,38.97,6.24259561400544,18395,32,63824.5587461236
"33",2,0.18,0.424264068711929,19444,33,909.757333036744
"34",258,23.22,4.8187135212627,18201,34,37256.0637245271
"35",0,0,0,19748,35,1251.19079221348
"36",31,2.79,1.67032930884901,14749,36,29440.2270025892
"37",85,7.65,2.76586333718787,17141,37,9020.07518609668
"38",0,0,0,15120,38,150.848883105301
"39",77,6.93,2.63248931621764,16040,39,24372.9107423667
"40",143,12.87,3.58747822293042,16243,40,27221.763143928
"41",50,4.5,2.12132034355964,14981,41,2641.44757851224
"42",157,14.13,3.7589892258425,15324,42,38124.299503102
"43",363,32.67,5.7157676649773,16574,43,36282.5592282668
"44",85,7.65,2.76586333718787,16632,44,18787.0028878842
"45",20,1.8,1.34164078649987,24101,45,8838.92750010026
"46",15,1.35,1.16189500386223,25020,46,413.993523401667
"47",3,0.27,0.519615242270663,22880,47,1394.77506266521
"48",0,0,0,24871,48,0
"49",2,0.18,0.424264068711929,23054,49,1054.23316287224
"50",2,0.18,0.424264068711929,24159,50,479.999980767589
"51",709,63.81,7.98811617341661,30929,51,63006.5306184423
"52",0,0,0,26349,52,153.448484977353
"53",0,0,0,26771,53,8.42909782560309
"54",0,0,0,35660,54,0
"55",6,0.54,0.734846922834953,38530,55,1964.7965964235
"56",0,0,0,34942,56,316.004269236713
"57",2,0.18,0.424264068711929,40823,57,4759.9999360533
"58",2881,259.29,16.1024842803836,15586,58,373446.346398063
"59",107,9.63,3.10322412983658,15482,59,19516.9978184851
"60",65,5.85,2.41867732448956,16406,60,113.622235475543
"61",0,0,0,16929,61,275.130179737946
"62",15,1.35,1.16189500386223,16403,62,39.9994574802304
"63",0,0,0,16789,63,750.7588155584
"64",3,0.27,0.519615242270663,16653,64,1208.61230945421
"65",2154,193.86,13.9233616630468,15798,65,351316.04986297
"66",1022,91.98,9.59062041788747,15963,66,182917.592603578
"67",83,7.47,2.73313007374329,15683,67,4153.337567612
"68",2,0.18,0.424264068711929,16230,68,266.729813812242
"69",1307,117.63,10.8457364895151,16175,69,238719.437455615
"70",1250,112.5,10.6066017177982,16154,70,215248.600486996
"71",419,37.71,6.14084684713762,16292,71,67782.2462513683
"72",421,37.89,6.15548535860496,16310,72,67511.6440182923
"73",914,82.26,9.06972987469858,15237,73,180550.211148236
"74",32,2.88,1.69705627484771,15694,74,7371.30503387778
"75",183,16.47,4.05832477754061,15508,75,47936.3090438897
"76",899,80.91,8.99499861033897,16964,76,84600.2830686404
"77",3295,296.55,17.2206271662794,18036,77,197727.916241192
"78",3701,333.09,18.2507534091062,18014,78,207738.214575045
"79",1826,164.34,12.8195163715329,17546,79,149298.488635551
"80",1593,143.37,11.9737212260851,17556,80,135144.843189069
"81",1201,108.09,10.3966340706981,17195,81,183186.276464763
"82",5,0.45,0.670820393249937,19029,82,3781.15132012138
"83",541,48.69,6.9778220097678,17654,83,76470.1766687328
"84",249,22.41,4.73392015141785,17264,84,50096.5982450992
"85",317,28.53,5.34134814442946,18560,85,23450.6475461868
"86",180,16.2,4.02492235949962,17579,86,42714.6948070064
"87",118,10.62,3.25883414736006,18293,87,10054.4985233867
"88",23,2.07,1.43874945699382,18953,88,12413.4641003477
"89",8,0.72,0.848528137423857,18818,89,839.413029407769
"90",2,0.18,0.424264068711929,19178,90,1219.75723599858
"91",3,0.27,0.519615242270663,28854,91,42.9339445680204
"92",174,15.66,3.95727178748188,15778,92,30110.4278109658
"93",5,0.45,0.670820393249937,15427,93,4685.79244450668
"94",1,0.09,0.3,15410,94,6036.09821114776
"95",60,5.4,2.32379000772445,15599,95,15903.5249791276
"96",1323,119.07,10.9119200876839,16717,96,190508.860793263
"97",23,2.07,1.43874945699382,16545,97,18860.0231124822
"98",495,44.55,6.6745786383861,15857,98,114891.7403225
"99",198,17.82,4.22137418384109,16274,99,52665.0497001148
"100",484,43.56,6.6,15354,100,57467.0408115379
"101",75,6.75,2.59807621135332,15949,101,44889.8066198234
"102",127,11.43,3.38082830087539,15613,102,17384.9696683529
"103",264,23.76,4.87442304278158,15304,103,111945.144711302
"104",317,28.53,5.34134814442946,16913,104,49383.8111599486
"105",1330,119.7,10.9407495172863,17641,105,164504.904312151
"106",404,36.36,6.02992537267253,17813,106,73893.6579607021
"107",1173,105.57,10.2747262737262,15023,107,90789.6259827522
"108",19,1.71,1.3076696830622,14658,108,1498.69578931984
"109",658,59.22,7.6954532030284,14823,109,20067.2998691062
"110",441,39.69,6.3,16537,110,65157.7365191313
"111",83,7.47,2.73313007374329,16785,111,14485.1627768334
"112",0,0,0,19803,112,159.360527130077
"113",0,0,0,19748,113,273.485288003358
"114",22,1.98,1.40712472794703,17382,114,3694.9354602258
"115",51,4.59,2.14242852856286,17185,115,13754.9097798157
"116",23,2.07,1.43874945699382,17814,116,129.477020188719
"117",94,8.46,2.9086079144498,17884,117,8544.24102872904
"118",0,0,0,17709,118,182.679353014646
"119",19,1.71,1.3076696830622,19223,119,1391.49951367655
"120",0,0,0,18746,120,122.253092084975
"121",0,0,0,17229,121,548.701633908557
"122",0,0,0,19999,122,783.321010872263
"123",0,0,0,18277,123,377.130625595085
"124",26,2.34,1.52970585407784,18426,124,2185.61300502264
"125",1274,114.66,10.7079409785448,18572,125,89112.3145087385
"126",353,31.77,5.63648826841678,19244,126,24204.9787048421
"127",2477,222.93,14.9308405657552,17386,127,293224.116188442
"128",1330,119.7,10.9407495172863,17348,128,162103.530311074
"129",0,0,0,28568,129,36.4801594627065
"130",0,0,0,30401,130,0.192230184652786
