"","Files","Name","LLcode","Lat","NS","dex","LatMin","LatMax","LonMin","LonMax"
"1","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_1/GlobeLand30_ATS2010_1/N25_35_2010LC030/N25_35_2010LC030_ATS.TIF","N25_35_2010LC030_ATS.TIF","N25_35",35,"N",25,35,40,-36,-30
"2","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_1/GlobeLand30_ATS2010_1/N26_35_2010LC030/N26_35_2010LC030_ATS.TIF","N26_35_2010LC030_ATS.TIF","N26_35",35,"N",26,35,40,-30,-24
"3","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_1/GlobeLand30_ATS2010_1/N27_60_2010LC030/N27_60_2010LC030_ATS.TIF","N27_60_2010LC030_ATS.TIF","N27_60",60,"N",27,60,65,-24,-12
"4","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_1/GlobeLand30_ATS2010_1/N27_65_2010LC030/N27_65_2010LC030_ATS.TIF","N27_65_2010LC030_ATS.TIF","N27_65",65,"N",27,65,70,-24,-12
"5","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_1/GlobeLand30_ATS2010_1/N29_40_2010LC030/N29_40_2010LC030_ATS.TIF","N29_40_2010LC030_ATS.TIF","N29_40",40,"N",29,40,45,-12,-6
"6","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_1/GlobeLand30_ATS2010_1/N29_45_2010LC030/N29_45_2010LC030_ATS.TIF","N29_45_2010LC030_ATS.TIF","N29_45",45,"N",29,45,50,-12,-6
"7","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_1/GlobeLand30_ATS2010_1/N29_50_2010LC030/N29_50_2010LC030_ATS.TIF","N29_50_2010LC030_ATS.TIF","N29_50",50,"N",29,50,55,-12,-6
"8","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_1/GlobeLand30_ATS2010_1/N29_55_2010LC030/N29_55_2010LC030_ATS.TIF","N29_55_2010LC030_ATS.TIF","N29_55",55,"N",29,55,60,-12,-6
"9","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_1/GlobeLand30_ATS2010_1/N29_60_2010LC030/N29_60_2010LC030_ATS.TIF","N29_60_2010LC030_ATS.TIF","N29_60",60,"N",29,60,65,-12,0
"10","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_1/GlobeLand30_ATS2010_1/N30_40_2010LC030/N30_40_2010LC030_ATS.TIF","N30_40_2010LC030_ATS.TIF","N30_40",40,"N",30,40,45,-6,0
