"","Id","Area","ScaleLength","Lat","Lon","COOP.","CRN","Station","State","Grid","AP...WWTP","Environs","Tmean.trend","Tmax.trend","Tmin.trend"
"1",1,16.4646,4.05765942385509,31.05806,-87.05472,11084,"x","BREWTON","AL",5,"x","R",-0.096319854,-0.06190658,0.087276425
"2",2,80.5518,8.97506545937131,30.54667,-87.88083,12813,"4","FAIRHOPE","AL",5,"x","S",0.280665541,-0.23813164,0.121230823
"3",3,8.5536,2.92465382566895,32.8347,-88.1341,13160,"4","GAINESVILLE LOCK","AL",5,"x","R",-0.199229413,0.292929933,0.925592094
"4",4,5.2209,2.28492888291955,32.70167,-87.58083,13511,"4","GREENSBORO","AL",5,"x","R",0.410530429,0.217109329,0.803680011
"5",5,8.6337,2.93831584415291,31.87,-86.25417,13816,"3","HIGHLAND HOME","AL",5,"x","R",0.190486379,0.121485846,0.113483477
"6",6,109.1259,10.4463342852888,34.7441,-87.5997,15749,"3","MUSCLE SHOALS FAA AP","AL",5,"A","S",0.453647617,0.500518055,0.38375524
"7",7,38.7684,6.22642754715736,34.1736,-86.8133,17157,"3","ST BERNARD","AL",5,"x","R",0.556528317,0.554535854,0.83998725
"8",8,21.7359,4.66217760279464,34.6736,-86.0536,17304,"4","SCOTTSBORO","AL",5,"x","S",0.707608572,0.648907883,0.701562864
"9",9,38.9691,6.24252352818954,32.41,-87.0153,17366,"4","SELMA","AL",5,"W","S",-0.860755777,-0.662499304,-0.517906023
"10",10,43.1667,6.5701369848733,33.4163,-86.135,18024,"4","TALLADEGA","AL",5,"W","S",-0.743004212,-0.776706105,-0.437660645
"11",11,12.6657,3.55889027647664,31.54111,-87.88333,18178,"x","THOMASVILLE","AL",5,"x","R",0.258281731,-0.001573967,0.569971973
"12",12,27.3366,5.22844145037505,31.8075,-85.9722,18323,"4","TROY","AL",5,"x","S",0.395326731,0.247319113,0.550797539
"13",13,134.0532,11.5781345647734,33.21194,-87.61583,18380,"2","TUSCALOOSA ACFD","AL",5,"A","U",0.862705791,0.590259071,1.128974751
"14",14,3.8574,1.96402647639995,32.0142,-85.7464,18438,"4","UNION SPRINGS","AL",5,"x","R",-0.156210704,-0.016156128,-0.17366963
"15",15,18.3528,4.28401680668972,34.56667,-85.61278,18469,"4","VALLEY HEAD","AL",5,"x","R",0.459318244,0.279137956,0.649721774
"16",16,27.7353,5.26643142934568,32.36861,-112.86167,20080,"4","AJO","AZ",10,"x","R",-0.748144044,NA,NA
"17",17,143.478,11.9782302532553,33.37611,-112.58278,21026,"x","BUCKEYE","AZ",10,"W","R",-0.442184566,-0.311178552,-0.476607606
"18",18,15.0489,3.87929117236642,36.1533,-109.5394,21248,"4","CANYON-DE-CHELLY","AZ",18,"x","R",0.652947315,0.378264953,0.93713037
"19",19,6.2307,2.4961370154701,34.34944,-111.69806,21614,"x","CHILDS","AZ",10,"x","R",-0.070735972,0.202304199,-0.440422372
"20",20,65.3121,8.08159019005542,31.345,-109.53944,22659,"4","DOUGLAS","AZ",9,"x","S",0.784106322,0.700529419,0.758492825
"21",21,93.2706,9.65767052658145,35.2681,-111.7428,23160,"2","FORT VALLEY","AZ",19,"x","R",0.56595462,0.794671191,0.443333547
"22",22,6.4557,2.54080695842876,36.05278,-112.15028,23596,"3","GRAND CANYON NATL PARK 2","AZ",19,"x","R",0.770863914,0.986374519,0.576341505
"23",23,22.5828,4.75213636167987,34.9094,-110.1544,24089,"4","HOLBROOK","AZ",10,"x","R",1.020695793,0.434711516,1.144866974
"24",24,78.39,8.85381273802422,35.2,-114.01667,24645,"x","KINGMAN 2","AZ",19,"x","S",0.495758793,0.356430565,0.706615452
"25",25,21.9681,4.68701397480315,36.8644,-111.6022,24849,"4","LEES FERRY","AZ",19,"x","R",-0.017850586,-0.117935481,-0.094762205
"26",26,841.959,29.0165297718387,33.4114,-111.8183,25467,"4","MESA","AZ",10,"x","U",0.836985005,1.26964534,0.780343545
"27",27,74.1348,8.61015679299744,33.4044,-110.87,25512,"5","MIAMI","AZ",10,"x","R",1.04622368,1.123684261,0.943020512
"28",28,23.5755,4.85546084321561,34.1547,-114.2897,26250,"4","PARKER","AZ",10,"x","R",-0.330090608,-0.008659375,-0.355031233
"29",29,172.2222,13.1233456100188,34.5706,-112.4322,26796,"4","PRESCOTT","AZ",10,"W","S",0.617360044,0.549084084,0.673520134
"30",30,3.2805,1.81121506177483,33.6731,-111.1508,27281,"5","ROOSEVELT","AZ",10,"x","R",0.217572272,0.212626973,-0.005715711
"31",31,151.722,12.3175484573839,33.08,-111.7416,27370,"4","SACATON","AZ",10,"x","R",2.65488582,2.598441209,2.659160894
"32",32,41.5674,6.44727849561348,32.815,-109.6808,27390,"3","SAFFORD AGRICULTURAL CENTER","AZ",9,"x","R",0.404440819,0.53584067,0.323288128
"33",33,16.3359,4.04176941450153,34.5172,-109.4028,27435,"4","SAINT JOHNS","AZ",9,"x","R",0.74000306,0.647630805,0.714757055
"34",34,9.6687,3.10945332815915,35.33222,-112.87972,27716,"4","SELIGMAN","AZ",19,"x","R",0.681104467,0.964161498,0.431808158
"35",35,13.6017,3.68804826432627,31.70556,-110.05694,28619,"x","TOMBSTONE (rating uncertain)","AZ",10,"x","R",0.107420477,0.406503489,-0.108080035
"36",36,737.6472,27.1596612644562,32.22917,-110.95361,28815,"5","TUCSON U OF AZ","AZ",10,"x","U",0.266390999,0.094025575,0.369872987
"37",37,13.5486,3.68084229491023,33.8169,-109.9833,29271,"4","WHITERIVER","AZ",9,"A","R",1.266760649,1.951285499,0.562038451
"38",38,45.0522,6.71209356311427,33.9792,-112.7403,29287,"5","WICKENBURG","AZ",10,"x","R",0.695470267,0.791711453,0.697202746
"39",39,19.0152,4.36064215454559,35.2405,-112.1902,29359,"4","WILLIAMS","AZ",19,"x","R",0.491290205,0.453793026,0.463781548
"40",40,137.9511,11.7452586178423,32.61139,-114.635,29652,"4","YUMA CITRUS","AZ",10,"x","U",0.812460025,0.226231033,1.180599156
"41",41,28.2285,5.31304997153236,34.88222,-91.21528,30936,"4","BRINKLEY","AR",6,"W","R",0.08859283,-0.197792359,0.321028228
"42",42,76.4838,8.74550170087457,35.08333,-92.46667,31596,"x","CONWAY","AR",15,"x","S",0.126825462,-0.390913961,0.394349651
"43",43,29.0529,5.3900742109919,36.4197,-90.5858,31632,"3","CORNING","AR",15,"x","R",0.064631815,-0.217863735,0.392728062
"44",44,26.991,5.19528632512203,36.41639,-93.79167,32356,"x","EUREKA SPRINGS","AR",15,"x","R",0.107091602,-0.173184962,0.39066368
"45",45,143.0694,11.9611621508949,36.10056,-94.17444,32444,"2","FAYETTEVILLE EXP STN","AR",15,"x","S",0.409078896,0.233726766,0.809064538
"46",46,37.6389,6.1350550119783,36.42611,-94.44806,32930,"3","GRAVETTE","AR",15,"x","R",0.46992799,0.450073531,0.450009071
"47",47,19.7388,4.44283693151122,36.49472,-91.535,34572,"4","MAMMOTH SPRING","AR",15,"x","R",0.056157803,-0.237335042,0.222187581
"48",48,23.9076,4.88953985565104,34.5731,-94.2494,34756,"3","MENA","AR",6,"x","R",-0.189653982,-0.197242508,0.04577463
"49",49,37.4886,6.12279348010367,35.6042,-91.2744,35186,"3","NEWPORT","AR",15,"W","R",0.525942447,0.50599391,0.585980032
"50",50,24.9759,4.99758941890988,35.48333,-93.81667,35508,"4","OZARK","AR",15,"x","R",-1.101866616,-0.671770038,-1.542109968
"51",51,112.3794,10.6009150548431,34.2256,-92.0189,35754,"4","PINE BLUFF","AR",6,"W","U",0.385560902,0.11986649,0.730266462
"52",52,25.6932,5.06884602251834,36.2639,-90.9681,35820,"3","POCAHONTAS 1","AR",15,"x","R",-0.380428305,-0.461432106,-0.139532237
"53",53,25.3647,5.03633795530046,33.7975,-93.37667,35908,"x","PRESCOTT","AR",6,"W","R",0.017738843,-0.211648642,0.189748628
"54",54,18.4977,4.30089525564155,33.81,-91.2703,36253,"3","ROHWER","AR",6,"x","R",0.344271814,0.206123995,0.464350421
"55",55,28.7487,5.36178142038633,35.30278,-93.63694,36928,"3","SUBIACO","AR",15,"x","R",-0.214446352,-0.422286213,0.030960368
"56",56,469.1331,21.6594806031908,37.87444,-122.25889,40693,"3","BERKELEY","CA",21,"x","U",0.231488075,0.712195403,-0.256264983
"57",57,20.3715,4.51347981052314,33.6131,-114.5972,40924,"4","BLYTHE","CA",10,"x","R",1.172864477,1.129358828,1.080108821
"58",58,74.8116,8.64936991924845,32.9544,-115.5581,41048,"2","BRAWLEY","CA",11,"x","S",0.375611401,0.242408633,0.461961428
"59",59,4.8105,2.19328520717211,41.53361,-120.17361,41614,"4","CEDARVILLE","CA",32,"x","R",0.567378187,0.663275629,0.373082085
"60",60,115.8867,10.7650685088391,39.69111,-121.82111,41715,"5","CHICO UNIV FARM","CA",21,"x","S",0.29779147,-0.061503345,0.02399558
"61",61,587.115,24.230456041932,32.64,-117.0858,41758,"4","CHULA VISTA","CA",11,"x","U",0.310778578,0.562513194,-0.055219394
"62",62,47.6037,6.89954346315754,39.0911,-120.948,41912,"3","COLFAX","CA",21,"x","R",-0.11561226,-0.096824998,-0.094892733
"63",63,16.5816,4.07205108022972,32.98972,-116.58722,42239,"4","CUYAMACA","CA",11,"x","R",0.216954275,0.590317576,-0.139716547
"64",64,131.6637,11.474480380392,38.535,-121.77611,42294,"3","DAVIS EXP FARM","CA",21,"x","S",0.537699316,0.475352538,0.527854604
"65",65,1.5399,1.24092707279679,36.4622,-116.8669,42319,"4","DEATH VALLEY","CA",20,"x","R",0.106251548,0.555697666,-0.22114139
"66",66,21.4524,4.63167356362687,38.33056,-120.67056,42728,"2","ELECTRA PH","CA",21,"x","R",-0.343854046,0.375093482,-1.249662043
"67",67,75.0285,8.66189932982368,40.81056,-124.16028,42910,"4","EUREKA WSO","CA",32,"x","S",-0.015383981,0.127362325,-0.15801627
"68",68,36.171,6.01423311819554,34.70417,-118.4275,42941,"1","FAIRMONT","CA",11,"x","R",0.301413183,0.363712801,0.243340626
"69",69,14.7726,3.84351401714629,39.5094,-123.7566,43161,"4","FORT BRAGG","CA",21,"x","R",-0.480152656,-0.483953249,-0.45314987
"70",70,363.9168,19.0766034712682,36.73333,-119.81667,43257,"3","FRESNO WSO AP","CA",20,"A","U",0.141952398,0.008899246,0.274882094
"71",71,99.4239,9.97115339366515,36.32194,-119.63556,43747,"4","HANFORD","CA",20,"x","S",0.426868282,0.424206866,0.47267522
"72",72,2.5794,1.6060510577189,41.8042,-123.3758,43761,"4","HAPPY CAMP RS","CA",32,"x","R",0.761595147,0.009941797,0.1972251
"73",73,53.4186,7.30880291155809,38.6175,-122.87306,43875,"5","HEALDSBURG","CA",21,"x","S",-0.188996145,-0.087051816,-0.166387408
"74",74,3.7296,1.93121723273173,36.798,-118.2036,44232,"5","INDEPENDENCE","CA",20,"x","R",0.270172386,0.462106785,0.08999291
"75",75,167.04,12.9243955371228,33.7086,-116.2152,44259,"4","INDIO FIRE STATION","CA",11,"x","S",1.665051774,0.981813202,1.983072661
"76",76,7.3188,2.70532807622292,39.31833,-120.63917,44713,"5","LAKE SPAULDING","CA",21,"x","R",0.566200849,0.516843117,1.084363776
"77",77,25.3233,5.03222614754146,36.3817,-119.0264,44890,"4","LEMON COVE","CA",20,"x","R",0.335209024,0.528732888,0.138863912
"78",78,152.8218,12.3621114701332,37.69222,-121.76917,44997,"5","LIVERMORE","CA",21,"x","U",0.374928551,-0.097514998,0.815976161
"79",79,238.4433,15.4416093720829,38.10611,-121.28778,45032,"4","LODI","CA",21,"x","U",0.5498495,0.447195241,0.595406717
"80",80,107.0001,10.3440852664699,39.14583,-121.58528,45385,"5","MARYSVILLE","CA",21,"x","S",0.172113403,0.100336363,0.279365324
"81",81,94.1049,9.70076801083296,37.28583,-120.51167,45532,"2","MERCED MUNICIPAL AP","CA",21,"A","U",0.725840089,0.353130882,0.761431604
"82",82,33.0318,5.74732981479226,41.3325,-122.33278,45983,"4","MOUNT SHASTA","CA",32,"x","R",0.116953326,0.025957777,0.174497505
"83",83,155.8926,12.4856958156124,38.2775,-122.26417,46074,"4","NAPA STATE HOSPITAL","CA",21,"x","U",0.158249201,0.074308239,0.254085506
"84",84,34.7436,5.89437019536439,34.7675,-114.61889,46118,"3","NEEDLES FAA AP","CA",10,"A","R",0.503426542,0.447599917,0.560097539
"85",85,478.512,21.8749171427002,33.6025,-117.8803,46175,"5","NEWPORT BEACH HARBOR","CA",11,"x","U",-0.011989814,-0.535016996,0.529810956
"86",86,64.1385,8.00865157189399,34.4477,-119.2275,46399,"5","OJAI","CA",11,"x","R",0.364854948,0.345287648,0.20686989
"87",87,16.0929,4.01159569248946,39.74583,-122.19972,46506,"3","ORLAND","CA",21,"x","R",0.220818465,0.143875526,0.348316065
"88",88,1.1898,1.09077953776187,41.3088,-123.5322,46508,"3","ORLEANS","CA",32,"x","R",0.209852446,-0.272449068,0.697629294
"89",89,708.7176,26.6217505059303,34.1483,-118.1447,46719,"4","PASADENA","CA",11,"x","U",0.418080318,0.163762871,0.62170657
"90",90,84.0987,9.17053433557718,35.6277,-120.6855,46730,"5","PASO ROBLES","CA",21,"x","R",-0.363404748,-0.688151435,0.043601746
"91",91,151.5384,12.3100934196293,38.2577,-122.6077,46826,"4","PETALUMA FIRE STN #2","CA",21,"x","S",-0.056111787,-0.31700782,0.276277111
"92",92,8.0595,2.83892585320575,39.9366,-120.9475,47195,"2","QUINCY","CA",21,"x","R",-2.394280344,-4.253879688,-0.459712459
"93",93,170.3268,13.0509310012734,40.5175,-122.29861,47304,"4","REDDING WSO","CA",32,"x","U",0.191208957,-0.127921915,0.457645109
"94",94,476.7192,21.8339002470928,34.0528,-117.1894,47306,"4","REDLANDS","CA",11,"x","U",0.330338671,0.251660214,0.304843588
"95",95,91.332,9.5567776996224,35.30556,-120.66389,47851,"3","SAN LUIS OBISPO POLY","CA",21,"x","S",0.301076482,0.470701979,0.035709305
"96",96,117.0738,10.8200646948158,34.41667,-119.68444,47902,"4","SANTA BARBARA","CA",11,"W","U",-0.086196155,-0.316347165,0.293361378
"97",97,59.5152,7.71460951701381,36.99056,-121.99111,47916,"4","SANTA CRUZ","CA",21,"x","U",0.033942306,-0.521486363,0.587180457
"98",98,197.5032,14.0535831729847,38.43806,-122.69778,47965,"5","SANTA ROSA","CA",21,"x","U",0.052953317,-0.07049162,0.265355575
"99",99,25.6437,5.06396090032299,40.4167,-120.6631,48702,"2","SUSANVILLE AP","CA",32,"A","R",0.23072571,-0.031715493,0.545758258
"100",100,49.4622,7.03293679766852,39.16778,-120.14278,48758,"4","TAHOE CITY","CA",21,"x","R",0.437982144,0.299906852,0.489465266
"101",101,13.3182,3.64941091136638,35.0233,-118.7497,48839,"4","TEJON RANCHO","CA",20,"x","R",-0.120930646,0.179810731,-0.519797569
"102",102,627.3891,25.0477364246752,33.7025,-117.75389,49087,"5","TUSTIN IRVINE RANCH","CA",11,"x","U",0.427724505,0.260778425,0.391418723
"103",103,26.8236,5.17915050949478,39.14667,-123.21028,49122,"4","UKIAH","CA",21,"x","S",-0.225950317,-0.450259646,-0.00596204
"104",104,166.7259,12.9122383806991,38.39556,-121.96083,49200,"4","VACAVILLE","CA",21,"x","U",0.557915839,0.459682814,0.676692828
"105",105,45.522,6.74699933303687,35.5975,-119.35306,49452,"4","WASCO","CA",20,"x","S",-0.130408969,0.207881598,-0.492422247
"106",106,6.066,2.46292509021285,40.735,-122.93917,49490,"4","WEAVERVILLE RS","CA",32,"x","R",-2.09431041,-3.273696305,-0.860390052
"107",107,14.3829,3.79247940007589,39.523,-122.3058,49699,"3","WILLOWS","CA",21,"x","R",0.60261005,0.584401656,0.3518672
