"","Count","Area","ScaleLength","Total","Id","USid","PopCount","Lat","Lon","COOP.","CRN","Station","State","Grid","AP...WWTP","Environs","Tmean.trend","Tmax.trend","Tmin.trend"
"1",123,11.07,3.32716095192283,15399,1,1,21091.0634458135,31.05806,-87.05472,11084,"x","BREWTON","AL",5,"x","R",-0.096319854,-0.06190658,0.087276425
"2",304,27.36,5.23067873224881,15315,2,2,112500.217891806,30.54667,-87.88083,12813,"4","FAIRHOPE","AL",5,"x","S",0.280665541,-0.23813164,0.121230823
"3",146,13.14,3.62491379207837,15681,3,3,4451.73338347537,32.8347,-88.1341,13160,"4","GAINESVILLE LOCK","AL",5,"x","R",-0.199229413,0.292929933,0.925592094
"4",95,8.55,2.92403830344269,15659,4,4,9982.67050594906,32.70167,-87.58083,13511,"4","GREENSBORO","AL",5,"x","R",0.410530429,0.217109329,0.803680011
"5",15,1.35,1.16189500386223,15528,5,5,12705.7875925135,31.87,-86.25417,13816,"3","HIGHLAND HOME","AL",5,"x","R",0.190486379,0.121485846,0.113483477
"6",940,84.6,9.19782583005354,16031,6,6,111113.548171815,34.7441,-87.5997,15749,"3","MUSCLE SHOALS FAA AP","AL",5,"A","S",0.453647617,0.500518055,0.38375524
"7",335,30.15,5.49090156531694,15915,7,7,69243.2619133294,34.1736,-86.8133,17157,"3","ST BERNARD","AL",5,"x","R",0.556528317,0.554535854,0.83998725
"8",202,18.18,4.26380112106557,16013,8,8,33203.5257776234,34.6736,-86.0536,17304,"4","SCOTTSBORO","AL",5,"x","S",0.707608572,0.648907883,0.701562864
"9",345,31.05,5.57225268630201,15617,9,9,39020.7611543504,32.41,-87.0153,17366,"4","SELMA","AL",5,"W","S",-0.860755777,-0.662499304,-0.517906023
"10",284,25.56,5.05568986390582,15797,10,10,45545.0608899902,33.4163,-86.135,18024,"4","TALLADEGA","AL",5,"W","S",-0.743004212,-0.776706105,-0.437660645
"11",87,7.83,2.79821371592664,15470,11,11,14741.7083172342,31.54111,-87.88333,18178,"x","THOMASVILLE","AL",5,"x","R",0.258281731,-0.001573967,0.569971973
"12",204,18.36,4.28485705712571,15514,12,12,31588.4428595571,31.8075,-85.9722,18323,"4","TROY","AL",5,"x","S",0.395326731,0.247319113,0.550797539
"13",1367,123.03,11.0918889284017,15745,13,13,177996.215696588,33.21194,-87.61583,18380,"2","TUSCALOOSA ACFD","AL",5,"A","U",0.862705791,0.590259071,1.128974751
"14",43,3.87,1.9672315572906,15545,14,14,9886.04760552444,32.0142,-85.7464,18438,"4","UNION SPRINGS","AL",5,"x","R",-0.156210704,-0.016156128,-0.17366963
"15",190,17.1,4.13521462562707,16015,15,15,37714.3274207504,34.56667,-85.61278,18469,"4","VALLEY HEAD","AL",5,"x","R",0.459318244,0.279137956,0.649721774
"16",135,12.15,3.48568501158668,15605,16,16,3744.24739346425,32.36861,-112.86167,20080,"4","AJO","AZ",10,"x","R",-0.748144044,NA,NA
"17",227,20.43,4.51995575199581,15772,17,17,117385.158057016,33.37611,-112.58278,21026,"x","BUCKEYE","AZ",10,"W","R",-0.442184566,-0.311178552,-0.476607606
"18",22,1.98,1.40712472794703,16317,18,18,8823.65870215047,36.1533,-109.5394,21248,"4","CANYON-DE-CHELLY","AZ",18,"x","R",0.652947315,0.378264953,0.93713037
"19",26,2.34,1.52970585407784,15965,19,19,1712.0163027848,34.34944,-111.69806,21614,"x","CHILDS","AZ",10,"x","R",-0.070735972,0.202304199,-0.440422372
"20",272,24.48,4.94772675074119,15437,20,20,112028.794939521,31.345,-109.53944,22659,"4","DOUGLAS","AZ",9,"x","S",0.784106322,0.700529419,0.758492825
"21",357,32.13,5.66833308830736,16125,21,21,82152.743093269,35.2681,-111.7428,23160,"2","FORT VALLEY","AZ",19,"x","R",0.56595462,0.794671191,0.443333547
